Figure 1: UK GDP is estimated to have fallen by 0.1% in May 2023,
"Monthly index, January 2007 to May 2023, UK",
,
Notes,
Unit,"Index, 2019 = 100"
,
Date,Monthly GDP
Jan-07,84
Feb-07,84.6
Mar-07,84.9
Apr-07,84.9
May-07,85
Jun-07,85
Jul-07,85.1
Aug-07,85.8
Sep-07,85.8
Oct-07,85.6
Nov-07,86.2
Dec-07,86.6
Jan-08,86.8
Feb-08,86.9
Mar-08,86.4
Apr-08,87
May-08,86.3
Jun-08,86.1
Jul-08,85.4
Aug-08,85.3
Sep-08,84.4
Oct-08,83.7
Nov-08,82.9
Dec-08,82.7
Jan-09,82
Feb-09,81.7
Mar-09,80.9
Apr-09,81.8
May-09,80.8
Jun-09,81
Jul-09,81.6
Aug-09,81.2
Sep-09,81.6
Oct-09,81.6
Nov-09,81.7
Dec-09,82
Jan-10,81.4
Feb-10,82.8
Mar-10,83.4
Apr-10,83.3
May-10,83.6
Jun-10,83.8
Jul-10,83.9
Aug-10,84.1
Sep-10,84.3
Oct-10,84.6
Nov-10,84.4
Dec-10,83.6
Jan-11,83.9
Feb-11,84.3
Mar-11,84.5
Apr-11,83.8
May-11,84.7
Jun-11,84.7
Jul-11,84.8
Aug-11,84.5
Sep-11,84.8
Oct-11,84
Nov-11,85
Dec-11,85.6
Jan-12,85.9
Feb-12,85.2
Mar-12,85.7
Apr-12,85.1
May-12,86.3
Jun-12,85.2
Jul-12,86.6
Aug-12,87
Sep-12,85.9
Oct-12,86.2
Nov-12,86.4
Dec-12,86.3
Jan-13,86.2
Feb-13,86.9
Mar-13,86.9
Apr-13,86.8
May-13,87.2
Jun-13,87.3
Jul-13,87.7
Aug-13,87.9
Sep-13,87.9
Oct-13,88.5
Nov-13,88.4
Dec-13,88
Jan-14,88.3
Feb-14,89.1
Mar-14,89.8
Apr-14,89.8
May-14,90.1
Jun-14,90.2
Jul-14,90.7
Aug-14,90.6
Sep-14,91
Oct-14,91.2
Nov-14,91.2
Dec-14,91.6
Jan-15,91.3
Feb-15,91.6
Mar-15,91.8
Apr-15,92.3
May-15,92.1
Jun-15,92
Jul-15,92.3
Aug-15,92.3
Sep-15,92.6
Oct-15,93
Nov-15,93
Dec-15,93.1
Jan-16,93.1
Feb-16,93.4
Mar-16,93.7
Apr-16,94.2
May-16,94
Jun-16,94.2
Jul-16,94.6
Aug-16,94.6
Sep-16,94.9
Oct-16,95.1
Nov-16,95.3
Dec-16,95.4
Jan-17,95.8
Feb-17,95.9
Mar-17,96
Apr-17,96.2
May-17,96.5
Jun-17,96.6
Jul-17,96.7
Aug-17,97
Sep-17,97.5
Oct-17,97.5
Nov-17,97.8
Dec-17,97.4
Jan-18,97.4
Feb-18,97.4
Mar-18,97.9
Apr-18,97.7
May-18,98.1
Jun-18,98.3
Jul-18,98.5
Aug-18,98.7
Sep-18,98.8
Oct-18,98.7
Nov-18,99.1
Dec-18,99
Jan-19,99.3
Feb-19,99.7
Mar-19,99.7
Apr-19,99.3
May-19,99.6
Jun-19,99.9
Jul-19,100.3
Aug-19,100.3
Sep-19,100.7
Oct-19,100.5
Nov-19,100.3
Dec-19,100.4
Jan-20,100.7
Feb-20,100.2
Mar-20,93.1
Apr-20,73.7
May-20,76
Jun-20,82.8
Jul-20,88.9
Aug-20,90.8
Sep-20,91.8
Oct-20,92.3
Nov-20,90.7
Dec-20,92.3
Jan-21,89.6
Feb-21,90.2
Mar-21,92.2
Apr-21,95.1
May-21,96.3
Jun-21,97.3
Jul-21,97.2
Aug-21,98
Sep-21,98.6
Oct-21,98.7
Nov-21,99.7
Dec-21,99.8
Jan-22,100
Feb-22,99.9
Mar-22,100
Apr-22,100
May-22,100.8
Jun-22,100
Jul-22,100.4
Aug-22,100.4
Sep-22,99.7
Oct-22,100.4
Nov-22,100.5
Dec-22,100
Jan-23,100.5
Feb-23,100.5
Mar-23,100.3
Apr-23,100.5
May-23,100.4
